conference	scope	session	title	doi_or_url	local_pdf	status
ASPLOS 2026	official-storage-session	Storage & Caching	Nemo: A Low-Write-Amplification Cache for Tiny Objects on Log-Structured Flash Devices	10.1145/3779212.3790191	downloads/asplos2026-storage/papers/01_nemo.pdf	downloaded
ASPLOS 2026	official-storage-session	Storage & Caching	ICARUS: Criticality and Reuse based Instruction Caching for Datacenter Applications	10.1145/3779212.3790175	downloads/asplos2026-storage/papers/02_icarus.pdf	downloaded
ASPLOS 2026	official-storage-session	Storage & Caching	CacheMind: From Miss Rates to Why - Natural-Language, Trace-Grounded Reasoning for Cache Replacement	10.1145/3779212.3790136	downloads/asplos2026-storage/papers/03_cachemind.pdf	downloaded
ASPLOS 2026	official-storage-session	Storage & Caching	Toasty: Speeding up network I/O with cache-warm buffers	10.1145/3779212.3790235	downloads/asplos2026-storage/papers/04_toasty.pdf	downloaded
ASPLOS 2026	official-storage-session	Storage & Caching	Hitchhike: Efficient Request Submission via Deferred Enforcement of Address Contiguity	10.1145/3779212.3790173		unavailable-acm-cloudflare
NSDI 2026	official-storage-title	Storage Systems and Architecture	FalconFS: Distributed File System for Large-Scale Deep Learning Pipeline	https://www.usenix.org/conference/nsdi26/presentation/xu	downloads/nsdi2026-storage/papers/01_falconfs.pdf	downloaded
NSDI 2026	official-storage-title	Storage Systems and Architecture	DistVS: Large-scale Vector Search with Compute-Memory Disaggregation	https://www.usenix.org/conference/nsdi26/presentation/yin	downloads/nsdi2026-storage/papers/02_distvs.pdf	downloaded
NSDI 2026	official-storage-title	Storage Systems and Architecture	Lemonshark: Asynchronous DAG-BFT With Early Finality	https://www.usenix.org/conference/nsdi26/presentation/hu-michael	downloads/nsdi2026-storage/papers/03_lemonshark.pdf	downloaded
NSDI 2026	official-storage-title	Storage Systems and Architecture	CacheCatalyst: Enhancing Web Caching for the Latency-Constrained Internet	https://www.usenix.org/conference/nsdi26/presentation/hosseini	downloads/nsdi2026-storage/papers/04_cachecatalyst.pdf	downloaded
NSDI 2026	official-storage-title	Scalable Storage Systems	PD3: Prefetching Data with DPUs for Disaggregated Memory	https://www.usenix.org/conference/nsdi26/presentation/sankhe	downloads/nsdi2026-storage/papers/05_pd3.pdf	downloaded
NSDI 2026	official-storage-title	Scalable Storage Systems	UpFuzz: Detecting Data Format Incompatibility Bugs during Distributed Storage System Upgrade	https://www.usenix.org/conference/nsdi26/presentation/han	downloads/nsdi2026-storage/papers/06_upfuzz.pdf	downloaded
NSDI 2026	official-storage-title	Scalable Storage Systems	Libra: Flexible Request Partitioning and Scheduling for Serving Unbalanced and Dynamic LLM Workloads	https://www.usenix.org/conference/nsdi26/presentation/ruan-libra	downloads/nsdi2026-storage/papers/07_libra.pdf	downloaded
NSDI 2026	official-storage-title	Scalable Storage Systems	Come Hell or Still Water: Alleviating Tail Latency in Cloud Block Store	https://www.usenix.org/conference/nsdi26/presentation/hu-chaolei	downloads/nsdi2026-storage/papers/08_blockstore.pdf	downloaded
NSDI 2026	official-storage-title	Scalable Storage Systems	Wallet: Confidential Serverless Computing	https://www.usenix.org/conference/nsdi26/presentation/sabanic	downloads/nsdi2026-storage/papers/09_wallet.pdf	downloaded
NSDI 2026	storage-related	Hot Data, Cold Data	ZipLLM: Efficient LLM Storage via Model-Aware Synergistic Data Deduplication and Compression	https://www.usenix.org/conference/nsdi26/presentation/wang-zirui	downloads/nsdi2026-storage/papers/10_zipllm.pdf	downloaded
NSDI 2026	storage-related	Hot Data, Cold Data	Latency-Aware Caching with Delayed Hits: From Bursty Traffic to Pipeline Architectures	https://www.usenix.org/conference/nsdi26/presentation/keren	downloads/nsdi2026-storage/papers/11_latency_caching.pdf	downloaded
NSDI 2026	storage-related	Hot Data, Cold Data	Cortex: Achieving Low-Latency, Cost-Efficient Remote Data Access For LLM via Semantic-Aware Knowledge Caching	https://www.usenix.org/conference/nsdi26/presentation/ruan-cortex	downloads/nsdi2026-storage/papers/12_cortex.pdf	downloaded
NSDI 2026	storage-related	Hot Data, Cold Data	Unleashing The Potential of Datacenter SSDs by Taming Performance Variability	https://www.usenix.org/conference/nsdi26/presentation/chaudhry	downloads/nsdi2026-storage/papers/13_sandook.pdf	downloaded
NSDI 2026	storage-related	Distributed Data Systems	XLL: Cross-Layer Logging for Data Deduplication in Consensus-Based Storage	https://www.usenix.org/conference/nsdi26/presentation/shawger	downloads/nsdi2026-storage/papers/14_xll.pdf	downloaded
NSDI 2026	storage-related	Distributed Data Systems	Co-Designing Traffic Control with NVMe-oF for Disaggregated Storage: A Comparative Study of Switched and Switchless SAN Architectures	https://www.usenix.org/conference/nsdi26/presentation/wang-chendong	downloads/nsdi2026-storage/papers/15_nvmeof_san.pdf	downloaded
